t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
     7764 ;       47 ;     O   ;          50 ;    3329 ; saida
     7776 ;       61 ;     N   ;         400 ;    4194 ; saida
     7982 ;       70 ;     N   ;         100 ;       ? ; entrada
     7989 ;       41 ;     O   ;         250 ;       ? ; entrada
     8010 ;       71 ;     N   ;         100 ;       ? ; entrada
     8016 ;       42 ;     O   ;         350 ;       ? ; entrada
     8029 ;       76 ;     N   ;         350 ;       ? ; entrada
     8037 ;       42 ;     O   ;         350 ;    3707 ; saida
     8046 ;       76 ;     N   ;         350 ;    3871 ; saida
     8115 ;        1 ;     N   ;         500 ;       ? ; entrada
     8134 ;        1 ;     N   ;         500 ;    8104 ; saida
     8172 ;       75 ;     O   ;         500 ;       ? ; entrada
     8187 ;       75 ;     O   ;         500 ;    4057 ; saida
     8198 ;       41 ;     O   ;         250 ;    3911 ; saida
     8238 ;       32 ;     N   ;         500 ;    6555 ; saida
     8256 ;       71 ;     N   ;         100 ;    4342 ; saida
     8272 ;       70 ;     N   ;         100 ;    4382 ; saida
     8409 ;       64 ;     E   ;         100 ;       ? ; entrada
     8422 ;       39 ;     N   ;         250 ;       ? ; entrada
     8433 ;       40 ;     E   ;         150 ;       ? ; entrada
     8448 ;       62 ;     S   ;         500 ;    4842 ; saida
     8509 ;       64 ;     E   ;         100 ;    4827 ; saida
     8672 ;       39 ;     N   ;         250 ;    4453 ; saida
     8732 ;       40 ;     E   ;         150 ;    4467 ; saida
     9015 ;       43 ;     N   ;         400 ;       ? ; entrada
     9268 ;       65 ;     S   ;         200 ;       ? ; entrada
     9456 ;       66 ;     S   ;         150 ;       ? ; entrada
     9465 ;       44 ;     S   ;         150 ;       ? ; entrada
     9538 ;      103 ;     O   ;         250 ;       ? ; entrada
     9770 ;       93 ;     S   ;         300 ;       ? ; entrada
     9789 ;      103 ;     O   ;         250 ;    4102 ; saida
     9900 ;       45 ;     N   ;         450 ;       ? ; entrada
     9918 ;       45 ;     N   ;         450 ;    5526 ; saida
     9935 ;       95 ;     O   ;         100 ;       ? ; entrada
     9963 ;       95 ;     O   ;         100 ;    4736 ; saida
    10015 ;       43 ;     N   ;         400 ;    5664 ; saida
