t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
   200688 ;      833 ;     N   ;         200 ;  140429 ; saida
   200845 ;     1259 ;     O   ;         150 ;   80263 ; saida
   201002 ;     1143 ;     E   ;         300 ;   94131 ; saida
   201334 ;     1539 ;     S   ;         100 ;   40026 ; saida
   201161 ;     1536 ;     S   ;         300 ;   40154 ; saida
   201499 ;     1546 ;     S   ;         200 ;   39622 ; saida
   201656 ;     1385 ;     S   ;          50 ;   60697 ; saida
   201808 ;     1117 ;     E   ;         300 ;  100864 ; saida
   202064 ;     1502 ;     S   ;         300 ;   48408 ; saida
   202222 ;     1503 ;     S   ;         350 ;   48424 ; saida
   202261 ;     1397 ;     O   ;         300 ;       ? ; entrada
   202293 ;     1397 ;     O   ;         300 ;   61653 ; saida
   202303 ;      938 ;     N   ;         500 ;       ? ; entrada
   202338 ;      938 ;     N   ;         500 ;  128659 ; saida
   202373 ;     1273 ;     O   ;          50 ;   68239 ; saida
   202406 ;     1127 ;     E   ;          50 ;   97434 ; saida
   202461 ;     1089 ;     E   ;         400 ;  103390 ; saida
   202503 ;     1284 ;     O   ;         500 ;   77855 ; saida
   202525 ;     1522 ;     S   ;         100 ;   45452 ; saida
   202546 ;     1443 ;     S   ;         250 ;   51868 ; saida
   202611 ;     1390 ;     S   ;         100 ;   63478 ; saida
   203141 ;      818 ;     N   ;         150 ;  143099 ; saida
   203166 ;      817 ;     N   ;         500 ;  143139 ; saida
   203182 ;     1115 ;     E   ;         350 ;  103418 ; saida
   203203 ;     1287 ;     O   ;         250 ;   74910 ; saida
   203221 ;     1094 ;     E   ;         100 ;  109236 ; saida
   203251 ;     1389 ;     O   ;         500 ;       ? ; entrada
   203275 ;     1407 ;     O   ;         100 ;       ? ; entrada
   203296 ;     1451 ;     O   ;         300 ;       ? ; entrada
   203312 ;      911 ;     N   ;         450 ;       ? ; entrada
   203342 ;     1455 ;     S   ;         500 ;   52705 ; saida
   202239 ;     1424 ;     O   ;         250 ;       ? ; entrada
   203378 ;     1324 ;     S   ;         450 ;   72215 ; saida
   203523 ;     1291 ;     O   ;         350 ;   74924 ; saida
   203531 ;     1389 ;     O   ;         500 ;   62349 ; saida
   203556 ;     1498 ;     S   ;         400 ;   46761 ; saida
   203608 ;     1442 ;     O   ;         500 ;       ? ; entrada
   203629 ;     1445 ;     O   ;         350 ;       ? ; entrada
   203654 ;     1442 ;     O   ;         500 ;   53020 ; saida
   203677 ;     1437 ;     O   ;          50 ;       ? ; entrada
   203697 ;     1464 ;     O   ;         150 ;       ? ; entrada
   203719 ;     1477 ;     O   ;         250 ;       ? ; entrada
   203745 ;     1437 ;     O   ;          50 ;   52888 ; saida
   203772 ;     1404 ;     O   ;         250 ;       ? ; entrada
   203800 ;     1404 ;     O   ;         250 ;   59490 ; saida
   203808 ;     1427 ;     O   ;         400 ;       ? ; entrada
   203832 ;     1427 ;     O   ;         400 ;   59101 ; saida
   203840 ;     1452 ;     O   ;         300 ;       ? ; entrada
   203864 ;     1452 ;     O   ;         300 ;   53839 ; saida
   203895 ;     1565 ;     S   ;         100 ;   37922 ; saida
   203904 ;     1520 ;     O   ;          50 ;       ? ; entrada
   203919 ;     1472 ;     O   ;         200 ;       ? ; entrada
   203945 ;     1518 ;     S   ;          50 ;   47773 ; saida
   203964 ;      810 ;     N   ;         400 ;  144033 ; saida
   203980 ;      879 ;     N   ;          50 ;  138648 ; saida
   203997 ;      855 ;     N   ;         250 ;  140982 ; saida
   204035 ;     1573 ;     S   ;         250 ;   37303 ; saida
   204053 ;     1068 ;     E   ;         300 ;  112444 ; saida
   204082 ;     1523 ;     O   ;         500 ;       ? ; entrada
   204112 ;     1312 ;     O   ;         350 ;   74328 ; saida
   204129 ;      851 ;     N   ;          50 ;  141177 ; saida
   204138 ;     1557 ;     O   ;         500 ;       ? ; entrada
   204153 ;     1559 ;     O   ;         150 ;       ? ; entrada
   204188 ;     1331 ;     O   ;         400 ;   74108 ; saida
   204187 ;     1492 ;     O   ;         400 ;       ? ; entrada
   204096 ;     1398 ;     O   ;         350 ;       ? ; entrada
   204215 ;     1563 ;     O   ;         350 ;       ? ; entrada
   204242 ;     1271 ;     O   ;         150 ;   69883 ; saida
   204365 ;     1262 ;     E   ;         350 ;   83227 ; saida
   204274 ;     1106 ;     O   ;         400 ;  105958 ; saida
   204290 ;     1574 ;     O   ;         150 ;       ? ; entrada
   204322 ;     1290 ;     O   ;         300 ;   75742 ; saida
   204321 ;     1501 ;     O   ;         500 ;       ? ; entrada
   204012 ;     1433 ;     O   ;         450 ;       ? ; entrada
   204247 ;     1497 ;     O   ;         100 ;       ? ; entrada
   204425 ;     1577 ;     O   ;         150 ;       ? ; entrada
   204447 ;     1149 ;     E   ;          50 ;   96731 ; saida
   204465 ;     1580 ;     O   ;          50 ;       ? ; entrada
   204483 ;     1590 ;     O   ;          50 ;       ? ; entrada
   204501 ;     1592 ;     O   ;         300 ;       ? ; entrada
   204520 ;     1420 ;     S   ;         200 ;   59297 ; saida
   204548 ;     1067 ;     E   ;         200 ;  113007 ; saida
   204583 ;     1454 ;     S   ;         450 ;   54374 ; saida
   204614 ;     1524 ;     S   ;         450 ;   46117 ; saida
   204645 ;     1535 ;     S   ;         300 ;   43746 ; saida
   204674 ;     1329 ;     E   ;         100 ;   73816 ; saida
   204715 ;     1208 ;     O   ;         450 ;   82400 ; saida
   204760 ;     1125 ;     E   ;         350 ;  102103 ; saida
   204787 ;     1476 ;     O   ;         150 ;       ? ; entrada
   204806 ;     1616 ;     O   ;         200 ;       ? ; entrada
   204815 ;     1484 ;     O   ;         350 ;       ? ; entrada
   204835 ;     1633 ;     O   ;         400 ;       ? ; entrada
   204840 ;     1486 ;     O   ;         450 ;       ? ; entrada
   204880 ;     1495 ;     S   ;         100 ;   47998 ; saida
   204889 ;      920 ;     N   ;          50 ;       ? ; entrada
   204910 ;      921 ;     N   ;         350 ;       ? ; entrada
   204947 ;     1595 ;     S   ;         400 ;   36148 ; saida
   204954 ;      930 ;     N   ;         400 ;       ? ; entrada
   204984 ;     1228 ;     O   ;         400 ;   87114 ; saida
   205017 ;     1223 ;     S   ;         100 ;   87535 ; saida
   205054 ;      983 ;     E   ;         450 ;  125579 ; saida
   205109 ;     1147 ;     E   ;         450 ;   97483 ; saida
   205133 ;     1446 ;     O   ;         200 ;       ? ; entrada
   205174 ;     1446 ;     O   ;         200 ;   58247 ; saida
   205198 ;     1424 ;     O   ;         250 ;   62521 ; saida
   205221 ;     1451 ;     O   ;         300 ;   55198 ; saida
   205252 ;     1402 ;     S   ;         150 ;   66664 ; saida
   205299 ;     1445 ;     O   ;         350 ;   54568 ; saida
   205356 ;     1530 ;     O   ;         450 ;       ? ; entrada
   205362 ;     1477 ;     O   ;         250 ;   53849 ; saida
   205390 ;     1533 ;     O   ;         500 ;       ? ; entrada
   205410 ;     1534 ;     O   ;         200 ;       ? ; entrada
   205423 ;     1537 ;     O   ;         150 ;       ? ; entrada
   205437 ;     1538 ;     O   ;         150 ;       ? ; entrada
   205451 ;     1612 ;     O   ;         350 ;       ? ; entrada
   205464 ;     1614 ;     O   ;          50 ;       ? ; entrada
   205478 ;     1661 ;     O   ;         400 ;       ? ; entrada
   205491 ;     1548 ;     N   ;         250 ;       ? ; entrada
   205525 ;     1548 ;     N   ;         250 ;   35970 ; saida
   205620 ;     1600 ;     O   ;          50 ;       ? ; entrada
   204861 ;     1641 ;     O   ;         500 ;       ? ; entrada
   204697 ;     1610 ;     O   ;         250 ;       ? ; entrada
   205511 ;     1643 ;     O   ;         300 ;       ? ; entrada
   205301 ;     1653 ;     O   ;          50 ;       ? ; entrada
   205053 ;     1646 ;     O   ;         200 ;       ? ; entrada
   205886 ;     1398 ;     O   ;         350 ;   63714 ; saida
   205905 ;     1584 ;     E   ;         300 ;       ? ; entrada
   205912 ;      981 ;     N   ;         350 ;       ? ; entrada
   205931 ;      982 ;     N   ;         350 ;       ? ; entrada
   205943 ;      984 ;     N   ;         150 ;       ? ; entrada
   205961 ;      954 ;     N   ;         300 ;       ? ; entrada
   205975 ;      934 ;     N   ;         500 ;       ? ; entrada
   205986 ;      903 ;     N   ;         150 ;       ? ; entrada
   205998 ;      963 ;     N   ;         300 ;       ? ; entrada
   206010 ;     1142 ;     N   ;         350 ;       ? ; entrada
   206021 ;     1137 ;     N   ;         350 ;       ? ; entrada
   206033 ;     1135 ;     N   ;          50 ;       ? ; entrada
   206044 ;     1002 ;     N   ;         450 ;       ? ; entrada
   206125 ;      791 ;     N   ;         300 ;       ? ; entrada
   206932 ;      993 ;     N   ;         500 ;       ? ; entrada
   207365 ;     1650 ;     O   ;         450 ;       ? ; entrada
   207389 ;      994 ;     N   ;         100 ;       ? ; entrada
   207414 ;      998 ;     N   ;         350 ;       ? ; entrada
   207439 ;     1006 ;     N   ;         300 ;       ? ; entrada
   207747 ;     1589 ;     E   ;         100 ;       ? ; entrada
   207796 ;     1589 ;     E   ;         100 ;   39513 ; saida
   207849 ;     1591 ;     E   ;         100 ;       ? ; entrada
   207902 ;     1574 ;     O   ;         150 ;   41067 ; saida
   207959 ;     1591 ;     E   ;         100 ;   39517 ; saida
   208041 ;     1501 ;     O   ;         500 ;   54519 ; saida
   208098 ;     1433 ;     O   ;         450 ;   56261 ; saida
   208159 ;     1497 ;     O   ;         100 ;   54939 ; saida
   208199 ;     1594 ;     E   ;         300 ;       ? ; entrada
   208250 ;     1577 ;     O   ;         150 ;   41198 ; saida
   208311 ;      822 ;     N   ;          50 ;  148205 ; saida
   208375 ;      820 ;     N   ;         350 ;  148296 ; saida
   208445 ;     1580 ;     O   ;          50 ;   41124 ; saida
   208519 ;     1590 ;     O   ;          50 ;   40139 ; saida
   208573 ;     1606 ;     S   ;         400 ;   38483 ; saida
   208640 ;     1010 ;     N   ;         450 ;       ? ; entrada
   208643 ;     1592 ;     O   ;         300 ;   40112 ; saida
   208688 ;     1594 ;     E   ;         300 ;   39942 ; saida
   208691 ;     1010 ;     N   ;         450 ;  117504 ; saida
   208579 ;     1007 ;     N   ;         350 ;       ? ; entrada
   208750 ;     1007 ;     N   ;         350 ;  124514 ; saida
   208621 ;      973 ;     N   ;         450 ;       ? ; entrada
   208796 ;     1614 ;     O   ;          50 ;   38187 ; saida
   208822 ;     1008 ;     N   ;         300 ;       ? ; entrada
   208832 ;     1119 ;     E   ;         450 ;  107741 ; saida
   208867 ;     1008 ;     N   ;         300 ;  121574 ; saida
   208897 ;     1599 ;     S   ;         500 ;   37293 ; saida
   208915 ;     1537 ;     O   ;         150 ;   47854 ; saida
   208945 ;     1146 ;     E   ;         350 ;  101799 ; saida
   208963 ;     1533 ;     O   ;         500 ;   48208 ; saida
   208987 ;     1018 ;     N   ;         250 ;       ? ; entrada
   208994 ;     1191 ;     E   ;          50 ;   95707 ; saida
   209026 ;     1018 ;     N   ;         250 ;  117678 ; saida
   209047 ;      788 ;     N   ;         300 ;  149281 ; saida
   209083 ;     1612 ;     O   ;         350 ;   38649 ; saida
   209105 ;     1020 ;     N   ;         150 ;       ? ; entrada
   209112 ;     1529 ;     S   ;         100 ;   48608 ; saida
   209145 ;     1020 ;     N   ;         150 ;  117757 ; saida
   209164 ;     1527 ;     S   ;          50 ;   48803 ; saida
   209174 ;     1021 ;     N   ;         500 ;       ? ; entrada
   209204 ;      921 ;     N   ;         350 ;  134834 ; saida
   209217 ;     1530 ;     O   ;         450 ;   48649 ; saida
   209274 ;     1627 ;     S   ;         250 ;   33786 ; saida
   209290 ;     1534 ;     O   ;         200 ;   48464 ; saida
   209341 ;     1195 ;     N   ;         100 ;       ? ; entrada
   209378 ;     1073 ;     N   ;         200 ;       ? ; entrada
   209414 ;     1218 ;     O   ;         400 ;   92318 ; saida
   209439 ;     1073 ;     N   ;         200 ;  117358 ; saida
   209519 ;      952 ;     E   ;          50 ;  132820 ; saida
   209528 ;     1661 ;     O   ;         400 ;   30726 ; saida
   209559 ;     1022 ;     N   ;         200 ;       ? ; entrada
   211457 ;     1022 ;     N   ;         200 ;  124025 ; saida
   209583 ;     1023 ;     N   ;         500 ;       ? ; entrada
   211487 ;     1023 ;     N   ;         500 ;  123962 ; saida
   209632 ;     1538 ;     O   ;         150 ;   48474 ; saida
   209652 ;     1028 ;     N   ;         200 ;       ? ; entrada
   211524 ;     1028 ;     N   ;         200 ;  123443 ; saida
   209676 ;     1032 ;     N   ;         150 ;       ? ; entrada
   211554 ;     1032 ;     N   ;         150 ;  123109 ; saida
   209701 ;     1288 ;     N   ;         200 ;       ? ; entrada
   209819 ;     1609 ;     N   ;         300 ;       ? ; entrada
   211588 ;     1288 ;     N   ;         200 ;   83135 ; saida
   211633 ;     1609 ;     N   ;         300 ;   40295 ; saida
   209870 ;     1039 ;     N   ;         250 ;       ? ; entrada
   211707 ;     1039 ;     N   ;         250 ;  122636 ; saida
   210023 ;     1043 ;     N   ;         450 ;       ? ; entrada
   211749 ;     1181 ;     N   ;         350 ;       ? ; entrada
   210156 ;     1045 ;     N   ;         450 ;       ? ; entrada
   210169 ;     1049 ;     N   ;         300 ;       ? ; entrada
   210181 ;     1051 ;     N   ;         500 ;       ? ; entrada
   210192 ;     1053 ;     N   ;         400 ;       ? ; entrada
   210203 ;     1063 ;     N   ;         150 ;       ? ; entrada
   210215 ;     1000 ;     N   ;         250 ;       ? ; entrada
   210226 ;     1092 ;     N   ;         300 ;       ? ; entrada
   210239 ;     1081 ;     N   ;         400 ;       ? ; entrada
   211775 ;     1043 ;     N   ;         450 ;  122403 ; saida
   210254 ;     1082 ;     N   ;          50 ;       ? ; entrada
   210272 ;     1109 ;     N   ;         300 ;       ? ; entrada
   210285 ;     1091 ;     N   ;         100 ;       ? ; entrada
   210296 ;     1121 ;     N   ;         400 ;       ? ; entrada
   210308 ;     1122 ;     N   ;         100 ;       ? ; entrada
   210321 ;     1264 ;     N   ;         400 ;       ? ; entrada
   210333 ;     1157 ;     N   ;         450 ;       ? ; entrada
   210348 ;     1162 ;     N   ;         350 ;       ? ; entrada
   210362 ;     1167 ;     N   ;         100 ;       ? ; entrada
   210378 ;     1340 ;     N   ;         200 ;       ? ; entrada
   210396 ;     1104 ;     N   ;         400 ;       ? ; entrada
   211887 ;     1045 ;     N   ;         450 ;  122413 ; saida
   210433 ;     1476 ;     O   ;         150 ;   58943 ; saida
   210446 ;     1021 ;     N   ;         500 ;  119039 ; saida
   210458 ;     1425 ;     N   ;         300 ;       ? ; entrada
   210470 ;     1129 ;     N   ;         100 ;       ? ; entrada
   210491 ;     1132 ;     N   ;         200 ;       ? ; entrada
   210506 ;     1124 ;     E   ;         400 ;  107795 ; saida
   210514 ;     1130 ;     N   ;         200 ;       ? ; entrada
   210540 ;     1141 ;     N   ;         150 ;       ? ; entrada
   210559 ;     1484 ;     O   ;         350 ;   58488 ; saida
   210564 ;     1144 ;     N   ;         400 ;       ? ; entrada
   210589 ;     1153 ;     N   ;         400 ;       ? ; entrada
   210612 ;     1633 ;     O   ;         400 ;   34457 ; saida
   210613 ;     1156 ;     N   ;         150 ;       ? ; entrada
   210637 ;     1359 ;     N   ;         400 ;       ? ; entrada
   210660 ;     1334 ;     N   ;         450 ;       ? ; entrada
   210662 ;     1486 ;     O   ;         450 ;   58491 ; saida
   210687 ;     1543 ;     N   ;         200 ;       ? ; entrada
   210706 ;     1170 ;     N   ;          50 ;       ? ; entrada
   210725 ;     1510 ;     S   ;         500 ;   55840 ; saida
   210752 ;      920 ;     N   ;          50 ;  136901 ; saida
   210811 ;     1519 ;     S   ;         150 ;   54542 ; saida
   210838 ;     1278 ;     O   ;         150 ;   82824 ; saida
   210876 ;      930 ;     N   ;         400 ;  136850 ; saida
   210875 ;     1635 ;     N   ;         200 ;       ? ; entrada
   210916 ;     1407 ;     O   ;         100 ;   66452 ; saida
   210942 ;      911 ;     N   ;         450 ;  137791 ; saida
   211014 ;     1464 ;     O   ;         150 ;   59844 ; saida
   211032 ;     1601 ;     N   ;         100 ;       ? ; entrada
   211054 ;     1362 ;     O   ;         400 ;   74968 ; saida
   211106 ;     1295 ;     O   ;         450 ;   82410 ; saida
   211112 ;     1604 ;     N   ;         200 ;       ? ; entrada
   211138 ;      985 ;     N   ;          50 ;       ? ; entrada
   211153 ;     1368 ;     O   ;         250 ;   70823 ; saida
   211183 ;      849 ;     N   ;         350 ;  148331 ; saida
   211293 ;     1393 ;     E   ;         400 ;       ? ; entrada
   212055 ;     1641 ;     O   ;         500 ;   35005 ; saida
   212097 ;     1517 ;     E   ;         150 ;       ? ; entrada
   212101 ;     1646 ;     O   ;         200 ;   34678 ; saida
   212143 ;     1517 ;     E   ;         150 ;   56338 ; saida
   212167 ;     1394 ;     N   ;          50 ;       ? ; entrada
   212187 ;     1394 ;     N   ;          50 ;   72773 ; saida
   212212 ;     1602 ;     E   ;          50 ;       ? ; entrada
   212213 ;     1233 ;     N   ;         250 ;       ? ; entrada
   212239 ;     1367 ;     N   ;         150 ;       ? ; entrada
   212267 ;     1602 ;     E   ;          50 ;   40802 ; saida
   212277 ;     1367 ;     N   ;         150 ;   72047 ; saida
   212301 ;     1226 ;     N   ;         250 ;       ? ; entrada
   212316 ;     1246 ;     N   ;         100 ;       ? ; entrada
   212333 ;     1618 ;     E   ;         450 ;       ? ; entrada
   212355 ;     1272 ;     O   ;         150 ;   78102 ; saida
   212423 ;     1618 ;     E   ;         450 ;   37032 ; saida
   212437 ;     1634 ;     S   ;         500 ;       ? ; entrada
   212470 ;      934 ;     N   ;         500 ;  137707 ; saida
   212506 ;     1431 ;     E   ;         200 ;       ? ; entrada
   212526 ;     1142 ;     N   ;         350 ;   99827 ; saida
   212558 ;     1135 ;     N   ;          50 ;   99757 ; saida
   212588 ;     1002 ;     N   ;         450 ;  129221 ; saida
   212619 ;      791 ;     N   ;         300 ;  153162 ; saida
   212639 ;     1466 ;     E   ;         150 ;       ? ; entrada
   212668 ;      993 ;     N   ;         500 ;  133043 ; saida
   212700 ;     1559 ;     O   ;         150 ;   47309 ; saida
   212728 ;     1472 ;     O   ;         200 ;   55800 ; saida
   212765 ;     1466 ;     E   ;         150 ;   61496 ; saida
   212785 ;     1523 ;     O   ;         500 ;   50847 ; saida
   212809 ;     1474 ;     E   ;         500 ;       ? ; entrada
   212832 ;     1557 ;     O   ;         500 ;   47637 ; saida
   212861 ;     1520 ;     O   ;          50 ;   56293 ; saida
   212891 ;     1563 ;     O   ;         350 ;   47149 ; saida
   212923 ;     1650 ;     O   ;         450 ;   35133 ; saida
   212949 ;      994 ;     N   ;         100 ;  133311 ; saida
   212979 ;      998 ;     N   ;         350 ;  133278 ; saida
   213010 ;     1006 ;     N   ;         300 ;  129740 ; saida
   213042 ;     1600 ;     O   ;          50 ;   41498 ; saida
   213060 ;     1244 ;     N   ;         400 ;       ? ; entrada
   212491 ;      903 ;     N   ;         150 ;  141597 ; saida
   212404 ;     1289 ;     O   ;          50 ;   83869 ; saida
   211318 ;     1616 ;     O   ;         200 ;   39949 ; saida
   210785 ;     1249 ;     O   ;         350 ;   91196 ; saida
   213098 ;     1478 ;     E   ;         200 ;       ? ; entrada
   213155 ;     1474 ;     E   ;         500 ;   61718 ; saida
   213230 ;     1413 ;     S   ;         500 ;   68419 ; saida
   213263 ;      973 ;     N   ;         450 ;  136776 ; saida
   213269 ;     1479 ;     E   ;         250 ;       ? ; entrada
   213299 ;     1177 ;     E   ;          50 ;  103154 ; saida
   213397 ;     1660 ;     N   ;          50 ;       ? ; entrada
   213426 ;     1336 ;     N   ;         100 ;       ? ; entrada
   213443 ;     1195 ;     N   ;         100 ;   98148 ; saida
   213458 ;     1150 ;     N   ;         250 ;       ? ; entrada
   213516 ;     1070 ;     N   ;         450 ;       ? ; entrada
   213582 ;     1070 ;     N   ;         450 ;  121740 ; saida
   213607 ;     1193 ;     N   ;         500 ;       ? ; entrada
   213631 ;     1200 ;     N   ;         350 ;       ? ; entrada
   213662 ;     1597 ;     E   ;         400 ;       ? ; entrada
   213684 ;     1178 ;     N   ;         350 ;       ? ; entrada
   213737 ;     1178 ;     N   ;         350 ;  103528 ; saida
   213738 ;     1258 ;     N   ;         250 ;       ? ; entrada
   213762 ;     1180 ;     N   ;         400 ;       ? ; entrada
   213790 ;     1183 ;     N   ;         300 ;       ? ; entrada
   213832 ;     1203 ;     N   ;          50 ;       ? ; entrada
   213862 ;     1198 ;     N   ;         400 ;       ? ; entrada
   213908 ;     1263 ;     N   ;          50 ;       ? ; entrada
   213949 ;     1319 ;     N   ;         450 ;       ? ; entrada
   213991 ;     1235 ;     N   ;          50 ;       ? ; entrada
   213998 ;     1220 ;     N   ;         100 ;       ? ; entrada
   214051 ;     1224 ;     N   ;         400 ;       ? ; entrada
   214094 ;     1237 ;     E   ;         300 ;       ? ; entrada
   214160 ;     1293 ;     N   ;         400 ;       ? ; entrada
   214166 ;     1237 ;     E   ;         300 ;   95598 ; saida
   214209 ;     1201 ;     N   ;         450 ;       ? ; entrada
   214262 ;     1401 ;     E   ;         350 ;       ? ; entrada
   214286 ;     1053 ;     N   ;         400 ;  123627 ; saida
   214322 ;     1248 ;     N   ;         100 ;       ? ; entrada
   214362 ;     1255 ;     N   ;         350 ;       ? ; entrada
   214431 ;     1255 ;     N   ;         350 ;   94213 ; saida
   214502 ;     1403 ;     E   ;         450 ;       ? ; entrada
   214541 ;     1256 ;     N   ;         150 ;       ? ; entrada
   214586 ;     1261 ;     N   ;         200 ;       ? ; entrada
   214665 ;     1261 ;     N   ;         200 ;   93943 ; saida
   214707 ;     1410 ;     E   ;         250 ;       ? ; entrada
   214744 ;     1265 ;     N   ;         250 ;       ? ; entrada
   214819 ;     1265 ;     N   ;         250 ;   91840 ; saida
   214866 ;     1282 ;     N   ;          50 ;       ? ; entrada
   214907 ;     1283 ;     N   ;         200 ;       ? ; entrada
   214943 ;     1243 ;     N   ;         400 ;       ? ; entrada
   214994 ;     1253 ;     N   ;          50 ;       ? ; entrada
   215074 ;     1253 ;     N   ;          50 ;   95042 ; saida
   215113 ;     1286 ;     N   ;         300 ;       ? ; entrada
   213487 ;      956 ;     N   ;         300 ;       ? ; entrada
   215204 ;     1104 ;     N   ;         400 ;  117018 ; saida
   215247 ;     1049 ;     N   ;         300 ;  123853 ; saida
   215254 ;     1485 ;     E   ;         200 ;       ? ; entrada
   215285 ;     1000 ;     N   ;         250 ;  125056 ; saida
   215305 ;     1081 ;     N   ;         400 ;  119116 ; saida
   215323 ;     1121 ;     N   ;         400 ;  112817 ; saida
   215342 ;     1167 ;     N   ;         100 ;  105813 ; saida
   214790 ;     1157 ;     N   ;         450 ;  106320 ; saida
   214375 ;     1082 ;     N   ;          50 ;  119305 ; saida
   215476 ;     1425 ;     N   ;         300 ;   72696 ; saida
   215702 ;     1487 ;     E   ;         350 ;       ? ; entrada
   216467 ;     1512 ;     E   ;         250 ;       ? ; entrada
   216532 ;     1552 ;     E   ;          50 ;       ? ; entrada
   218012 ;     1294 ;     N   ;         250 ;       ? ; entrada
   218027 ;     1303 ;     N   ;         200 ;       ? ; entrada
   218038 ;     1310 ;     N   ;         100 ;       ? ; entrada
   218050 ;     1316 ;     N   ;         350 ;       ? ; entrada
   218117 ;     1325 ;     N   ;         250 ;       ? ; entrada
   218130 ;     1337 ;     N   ;         250 ;       ? ; entrada
   218142 ;     1343 ;     N   ;         250 ;       ? ; entrada
   218153 ;     1339 ;     N   ;         100 ;       ? ; entrada
   218164 ;     1355 ;     N   ;         300 ;       ? ; entrada
   218177 ;     1544 ;     E   ;         250 ;       ? ; entrada
   218189 ;     1545 ;     E   ;          50 ;       ? ; entrada
   218207 ;     1164 ;     N   ;         100 ;       ? ; entrada
   218219 ;     1168 ;     N   ;         350 ;       ? ; entrada
   218230 ;     1229 ;     N   ;         450 ;       ? ; entrada
   218257 ;     1608 ;     E   ;         500 ;       ? ; entrada
   218272 ;     1615 ;     E   ;          50 ;       ? ; entrada
   218290 ;     1521 ;     E   ;         400 ;       ? ; entrada
   218308 ;     1551 ;     E   ;         250 ;       ? ; entrada
   218322 ;     1561 ;     E   ;         150 ;       ? ; entrada
   218336 ;     1578 ;     E   ;         350 ;       ? ; entrada
   218349 ;     1583 ;     E   ;         150 ;       ? ; entrada
   218362 ;     1585 ;     E   ;          50 ;       ? ; entrada
   218373 ;     1471 ;     N   ;         200 ;       ? ; entrada
   218387 ;     1671 ;     S   ;         450 ;       ? ; entrada
   218961 ;     1489 ;     N   ;          50 ;       ? ; entrada
   218992 ;     1488 ;     N   ;          50 ;       ? ; entrada
   219015 ;     1490 ;     N   ;          50 ;       ? ; entrada
   219038 ;     1494 ;     N   ;         450 ;       ? ; entrada
   219388 ;     1689 ;     S   ;         200 ;       ? ; entrada
   219399 ;     1639 ;     S   ;         500 ;       ? ; entrada
   219411 ;     1672 ;     S   ;         200 ;       ? ; entrada
   219526 ;     1514 ;     N   ;         200 ;       ? ; entrada
   220067 ;     1636 ;     S   ;         500 ;       ? ; entrada
   220898 ;     1526 ;     N   ;         200 ;       ? ; entrada
   221018 ;     1447 ;     N   ;         450 ;       ? ; entrada
   221050 ;     1525 ;     N   ;         300 ;       ? ; entrada
   221074 ;     1528 ;     N   ;         300 ;       ? ; entrada
   221098 ;     1540 ;     N   ;         150 ;       ? ; entrada
   221121 ;     1500 ;     N   ;         450 ;       ? ; entrada
   221146 ;     1549 ;     N   ;         350 ;       ? ; entrada
   221286 ;     1558 ;     N   ;         250 ;       ? ; entrada
   221299 ;     1562 ;     N   ;         150 ;       ? ; entrada
   221415 ;     1564 ;     N   ;         450 ;       ? ; entrada
   221563 ;     1499 ;     E   ;         200 ;       ? ; entrada
   221597 ;     1504 ;     E   ;         150 ;       ? ; entrada
   221621 ;     1441 ;     N   ;          50 ;       ? ; entrada
   221660 ;     1444 ;     N   ;         350 ;       ? ; entrada
   221686 ;     1438 ;     N   ;         350 ;       ? ; entrada
   221716 ;     1459 ;     N   ;         250 ;       ? ; entrada
   221749 ;     1461 ;     N   ;         450 ;       ? ; entrada
   221774 ;     1435 ;     N   ;          50 ;       ? ; entrada
   221800 ;     1473 ;     N   ;         450 ;       ? ; entrada
   221824 ;     1468 ;     N   ;         400 ;       ? ; entrada
   221849 ;     1480 ;     N   ;         350 ;       ? ; entrada
   221873 ;     1482 ;     N   ;         500 ;       ? ; entrada
   221910 ;     1483 ;     N   ;         250 ;       ? ; entrada
   221935 ;     1496 ;     N   ;         350 ;       ? ; entrada
   221992 ;     1505 ;     N   ;         400 ;       ? ; entrada
   222026 ;     1506 ;     N   ;         100 ;       ? ; entrada
   222051 ;     1507 ;     N   ;         200 ;       ? ; entrada
   222077 ;     1508 ;     N   ;         250 ;       ? ; entrada
   222209 ;     1566 ;     N   ;         150 ;       ? ; entrada
   222425 ;     1144 ;     N   ;         400 ;  115519 ; saida
   222462 ;     1130 ;     N   ;         200 ;  116355 ; saida
   222585 ;     1156 ;     N   ;         150 ;  114416 ; saida
   222752 ;     1543 ;     N   ;         200 ;   61135 ; saida
   223014 ;     1635 ;     N   ;         200 ;   46554 ; saida
   223126 ;     1568 ;     N   ;         450 ;       ? ; entrada
   223202 ;     1601 ;     N   ;         100 ;   51689 ; saida
   223400 ;     1604 ;     N   ;         200 ;   51960 ; saida
   223692 ;     1393 ;     E   ;         400 ;   84311 ; saida
   224071 ;     1569 ;     N   ;         100 ;       ? ; entrada
   224332 ;     1233 ;     N   ;         250 ;  105896 ; saida
   224335 ;     1570 ;     N   ;         350 ;       ? ; entrada
   225153 ;     1063 ;     N   ;         150 ;  134289 ; saida
   224593 ;     1584 ;     E   ;         300 ;   56875 ; saida
   224635 ;     1181 ;     N   ;         350 ;  110478 ; saida
   224689 ;     1634 ;     S   ;         500 ;   48446 ; saida
